,Currency,Rate
0,AED,4.339057
1,AFN,101.328896
2,ALL,121.800405
3,AMD,579.08168
4,ANG,2.119503
5,AOA,737.045141
6,ARS,115.988629
7,AUD,1.61128
8,AWG,2.126415
9,AZN,2.014675
10,BAM,1.956479
11,BBD,2.384091
12,BDT,100.625696
13,BGN,1.955059
14,BHD,0.445253
15,BIF,2344.977899
16,BMD,1.181342
17,BND,1.586152
18,BOB,8.141022
19,BRL,6.174991
20,BSD,1.180792
21,BTC,2.5657268e-05
22,BTN,86.884477
23,BWP,12.946392
24,BYN,2.95368
25,BYR,23154.30097
26,BZD,2.38009
27,CAD,1.495443
28,CDF,2366.227647
29,CHF,1.088719
30,CLF,0.033516
31,CLP,924.789187
32,CNY,7.616128
33,COP,4523.000414
34,CRC,737.874775
35,CUC,1.181342
36,CUP,31.30556
37,CVE,110.30159
38,CZK,25.420431
39,DJF,210.209733
40,DKK,7.436073
41,DOP,66.937205
42,DZD,160.839445
43,EGP,18.56349
44,ERN,17.725981
45,ETB,54.540893
46,EUR,1.0
47,FJD,2.459671
48,FKP,0.853496
49,GBP,0.852675
50,GEL,3.673505
51,GGP,0.853496
52,GHS,7.131766
53,GIP,0.853496
54,GMD,61.430052
55,GNF,11532.525682
56,GTQ,9.13323
57,GYD,247.020443
58,HKD,9.189458
59,HNL,28.45744
60,HRK,7.477662
61,HTG,115.12419
62,HUF,350.258423
63,IDR,16857.098979
64,ILS,3.796656
65,IMP,0.853496
66,INR,87.057041
67,IQD,1723.911873
68,IRR,49840.814032
69,ISK,151.235077
70,JEP,0.853496
71,JMD,176.598361
72,JOD,0.837586
73,JPY,130.089791
74,KES,129.853305
75,KGS,100.176846
76,KHR,4814.87307
77,KMF,492.975088
78,KPW,1063.207715
79,KRW,1382.713526
80,KWD,0.355276
81,KYD,0.983981
82,KZT,503.597058
83,LAK,11317.027305
84,LBP,1785.509178
85,LKR,235.550973
86,LRD,202.24673
87,LSL,16.707131
88,LTL,3.488195
89,LVL,0.714582
90,LYD,5.336722
91,MAD,10.571415
92,MDL,20.840413
93,MGA,4634.487397
94,MKD,61.635446
95,MMK,2190.213689
96,MNT,3354.110522
97,MOP,9.460798
98,MRO,421.73885
99,MUR,49.971138
100,MVR,18.251717
101,MWK,959.888424
102,MXN,23.507581
103,MYR,4.916751
104,MZN,75.34006
105,NAD,17.170839
106,NGN,483.530872
107,NIO,41.462754
108,NOK,10.174514
109,NPR,139.015643
110,NZD,1.662597
111,OMR,0.454218
112,PAB,1.180792
113,PEN,4.852384
114,PGK,4.145682
115,PHP,58.866523
116,PKR,198.594834
117,PLN,4.555016
118,PYG,8146.90257
119,QAR,4.301232
120,RON,4.949701
121,RSD,117.619018
122,RUB,86.127743
123,RWF,1192.370031
124,SAR,4.430801
125,SBD,9.511665
126,SCR,15.189274
127,SDG,521.563365
128,SEK,10.144904
129,SGD,1.587174
130,SHP,1.627181
131,SLL,12333.209329
132,SOS,691.085019
133,SRD,25.24232
134,STD,24451.391926
135,SVC,10.332428
136,SYP,1485.464437
137,SZL,16.794571
138,THB,38.913886
139,TJS,13.38394
140,TMT,4.134697
141,TND,3.295358
142,TOP,2.655064
143,TRY,9.984784
144,TTD,8.014559
145,TWD,32.714311
146,TZS,2738.884506
147,UAH,31.453234
148,UGX,4168.082677
149,USD,1.181342
150,UYU,50.489749
151,UZS,12618.355884
152,VEF,252606598193.81433
153,VND,26873.663631
154,VUV,131.875241
155,WST,3.024612
156,XAF,656.144114
157,XAG,0.050223
158,XAU,0.000662
159,XCD,3.192636
160,XDR,0.830037
161,XOF,656.174673
162,XPF,119.846945
163,YER,296.221269
164,ZAR,16.819756
165,ZMK,10633.498706
166,ZMW,19.287698
167,ZWL,380.391605
